"CodEnvio","Fecha","CodCliente","CodEmpleado","CodVehiculo","DireccionOrigen","CPostalOrigen","DireccionDestino","CPostalDestino","Distancia","Importe"
16,"2/11/14 0:00:00","0088",3,"Z-2675-BF","CL / SANTIAGO DULONG 8                                      ","50003","CL / MONEGROS  8 LOCAL                                                      ","50003",7,5.6300
17,"2/11/14 0:00:00","0043",3,"Z-2675-BF","CL / CASTILLA  8 2 F                                                        ","50009","CL / COMPROMISO DE CASPE 3                                  ","50002",7,5.1100
18,"2/11/14 0:00:00","0029",3,"Z-2675-BF","CL / ISLA MALLORCA 28                                                       ","50014","CL / DOCTOR GRACIA BURDIEL  1                               ","50002",6,5.2300
19,"3/11/14 0:00:00","0084",4,"3851-CBT","CL / PROGRESO ESPAÑOL  25-27 3 5 D                          ","50011","PA / CONSTITUCION 16 9º C                                                   ","50008",2,68.6300
20,"3/11/14 0:00:00","0059",5,"8745-CBF","CL / BRAZATO 3  1º D                                        ","50012","CL / SAN ANTONIO ABAD 26                                                    ","50010",9,328.8700
21,"3/11/14 0:00:00","0012",6,"Z-2345-BJ","CL / SANTA ISABEL 2                                                         ","50003","CL / SAN VICENTE MARTIR 24                                  ","50080",8,147.9800
22,"3/11/14 0:00:00","0033",7,"Z-2675-BF","PA / Mª AGUSTIN,  73                                                        ","50003","CL / MENDEZ NUÑEZ,  15                                      ","50002",3,5.1600
23,"3/11/14 0:00:00","0005",7,"Z-2675-BF","CL / BORJA,  16                                                             ","50010","CL / COMPROMISO DE CASPE 25                                 ","50002",10,5.2000
24,"3/11/14 0:00:00","0071",7,"Z-2675-BF","CL / VALLE ZURIZA 3                                                         ","50015","CL / AIUM 4                                                 ","50012",3,5.2000
25,"3/11/14 0:00:00","0089",7,"Z-2675-BF","CL / RODRIGO REBOLLEDO 36 DPDO                              ","50002","AV / GOMEZ LAGUNA 25  4B                                                    ","50009",7,5.0600
26,"3/11/14 0:00:00","0055",7,"Z-2675-BF","CL / EUGENIA BUESO 9                                        ","50002","CL / SAN IGNACIO DE LOYOLA 12  3 A                                          ","50008",8,5.6800
27,"3/11/14 0:00:00","0016",8,"Z-2676-BF","CL / MIGUEL SERVET 177                                      ","50002","CL / PADRE CONSOLACION 15                                                   ","50003",5,5.3700
28,"3/11/14 0:00:00","0019",8,"Z-2676-BF","CL / RAMON Y CAJAL 24                                                       ","50004","CL / MIGUEL SERVET 177                                      ","50002",4,5.1100
29,"3/11/14 0:00:00","0063",8,"Z-2676-BF","CL / VIA HISPANIDAD 61 7 4º A                               ","50012","CL / NUMANCIA 9                                                             ","50003",7,5.1700
30,"3/11/14 0:00:00","0002",8,"Z-2676-BF","CL / CORTES DE ARAGON 38                                                    ","50005","CL / RIO GUADALOPE 11                                                       ","50003",6,6.1800
31,"3/11/14 0:00:00","0022",9,"Z-4678-BF","CL / ASALTO 45                                                              ","50002","CL / ALBERTO DUCE  13 6 DR                                                  ","50015",6,58.8700
32,"3/11/14 0:00:00","0079",1,"Z-8113-BK","CL / ESCULTOR PALAU 11                                                      ","50010","PA /  DE COLON,  14                                                         ","50006",3,56.3300
33,"3/11/14 0:00:00","0069",2,"Z-8114-BK","CL / E. BARDAXI Y AZARA 11                                                  ","50014","CL / DOCTOR HORNO 31                                                        ","50004",9,91.3500
34,"4/11/14 0:00:00","0002",9,"3851-CBT","CL / PABLO IGLESIAS 30                                                      ","50015","CL / MIGUEL SERVET 177                                      ","50002",5,289.9900
35,"4/11/14 0:00:00","0031",1,"8745-CBF","CL / MORET 4                                                                ","50001","CL / ATECA  9                                                               ","50007",6,108.7900
36,"4/11/14 0:00:00","0010",1,"8745-CBF","CL / MONASTERIO DE SIRESA 13  6º C                          ","50002","CL / CACERES 3                                                              ","50008",9,83.2100
37,"4/11/14 0:00:00","0091",2,"Z-2345-BJ","CL / MARTINEZ VARGAS 9                                                      ","50015","CL / BOLOVIA 45                                                             ","50010",6,113.0500
38,"4/11/14 0:00:00","0055",3,"Z-2675-BF","CM / DE ENMEDIO 120                                                         ","50013","CL / JOSE GERVASIO ARTIGAS 3                                                ","50017",10,5.3900
39,"4/11/14 0:00:00","0028",3,"Z-2675-BF","CL / FLORIAN REY 10                                         ","50002","AV / PABLO RUIZ PICASSO  2 DUPLICADO                                        ","50014",9,5.2400
40,"4/11/14 0:00:00","0016",3,"Z-2675-BF","CL / MIGUEL SERVET 177                                      ","50002","CL / PASEO MARIA AGUSTIN,  25                                               ","50004",5,5.3700
41,"4/11/14 0:00:00","0039",3,"Z-2675-BF","CL / ESCOSURA 44                                                            ","50005","CL / COSO  7                                                ","50002",4,5.1300
42,"4/11/14 0:00:00","0044",3,"Z-2675-BF","CL / SAIZ DE OTERO,  23                                                     ","50015","CL / LEOPOLDO ROMEO 27 6º D                                 ","50002",8,5.9700
43,"4/11/14 0:00:00","0048",4,"Z-2676-BF","CL / CORTES DE ARAGON  1                                                    ","50005","CL / TURCO 14                                               ","50002",5,5.2100
44,"4/11/14 0:00:00","0042",4,"Z-2676-BF","CL / JOSE GERVASIO ARTIGAS 3                                                ","50017","CL / PABLO REMACHA, LOCAL 23                                                ","50008",9,5.3200
45,"4/11/14 0:00:00","0084",4,"Z-2676-BF","CL / VIA IBERICA 149                                                        ","50012","CL / PROGRESO ESPAÑOL  25-27 3 5 D                          ","50011",2,5.0900
46,"4/11/14 0:00:00","0078",4,"Z-2676-BF","CL / LATASSA 12                                                             ","50006","CL / PEDRO II EL CATOLICO 2                                 ","50002",5,5.2100
47,"4/11/14 0:00:00","0035",4,"Z-2676-BF","CL / MONREAL,  27                                                           ","50002","CL / MONASTERIO DE LA OLIVA,  14                            ","50002",4,5.1300
48,"4/11/14 0:00:00","0078",4,"Z-2676-BF","CL / PEDRO II EL CATOLICO 2                                 ","50002","CL / BORJA 4                                                                ","50010",5,5.4000
49,"4/11/14 0:00:00","0062",5,"Z-4678-BF","CL / FRAGA 3                                                                ","50003","CL / ESCULTOR PALAU, 1                                                      ","50017",1,17.2900
50,"4/11/14 0:00:00","0076",6,"Z-8113-BK","CL / CARRT.MIRALBUENO 277                                   ","50011","CL / TENIENTE CATALAN 3                                                     ","50005",4,19.6400
51,"4/11/14 0:00:00","0002",6,"Z-8113-BK","CL / PASEO MARIA AGUSTIN,  25                                               ","50004","CL / AVD. MADRID 283                                                        ","50010",5,43.0700
52,"4/11/14 0:00:00","0069",7,"Z-8114-BK","CL / ARGUALAS  12                                           ","50012","CL / DOMINGO RAM 47 LOC.  IZDA                                              ","50010",5,20.1900
53,"4/11/14 0:00:00","0081",7,"Z-8114-BK","CL / MIGUEL SERVET 177                                                      ","50002","CL / CAMINO MIRALBUENO 172                                  ","50011",8,28.5800
54,"4/11/14 0:00:00","0038",7,"Z-8114-BK","CL / LEOPOLDO ROMERO  8                                     ","50002","CL / CORONA DE ARAGON 18                                                    ","50003",8,119.0900
55,"5/11/14 0:00:00","0022",1,"3851-CBT","CL / SAIZ DE OTERO,  23                                                     ","50015","PA / ECHEGARAY Y CABALLERO, 76                                              ","50003",10,354.0200
56,"5/11/14 0:00:00","0040",2,"8745-CBF","CL / GARCIA ARISTA 10                                                       ","50015","CL / BATALLA DE LEPANTO, 7                                  ","50002",9,402.1100
57,"5/11/14 0:00:00","0023",3,"Z-2345-BJ","CL / CARRETERA DE COGULLADA 12                                              ","50014","CL / MIGUEL SERVET 177                                                      ","50002",5,65.7200
58,"5/11/14 0:00:00","0069",3,"Z-2345-BJ","CL / CINEASTA JOSE LUIS BORAU 3 LOCAL DCHA                                  ","50015","CL / ARGUALAS  12                                           ","50012",2,41.6600
59,"5/11/14 0:00:00","0082",4,"Z-2675-BF","CL / CAPITAN ESPONERA 1                                                     ","50004","PA /  TERUEL 15-17                                                          ","50004",8,5.7700
60,"5/11/14 0:00:00","0036",4,"Z-2675-BF","CL / ITALIA 36-38                                                           ","50010","CL / MONREAL,  27                                           ","50002",1,5.0700
61,"5/11/14 0:00:00","0043",4,"Z-2675-BF","CL / VIA IBERICA 69-77 69-77                                                ","50012","CL / COMPROMISO DE CASPE 3                                  ","50002",6,5.5200
62,"5/11/14 0:00:00","0033",5,"Z-2676-BF","CL / MENDEZ NUÑEZ,  15                                      ","50002","CL / MIGUEL SERVET 177                                                      ","50002",10,5.3300
63,"5/11/14 0:00:00","0015",5,"Z-2676-BF","CL / PADRE LANDA 11                                                         ","50003","CL / FRAY LUIS URBANO,  CASA 23 11                          ","50002",5,5.3000
64,"5/11/14 0:00:00","0024",5,"Z-2676-BF","CL / MIGUEL SERVET 177                                                      ","50002","CL / P MARIA AGUSTIN 4-6                                                    ","50004",6,5.5000
65,"5/11/14 0:00:00","0041",5,"Z-2676-BF","CL / CORTES DE ARAGON 59                                                    ","50005","CL / CONTAMINA, 18                                                          ","50003",3,5.1400
66,"5/11/14 0:00:00","0073",6,"Z-4678-BF","CL / CAMINO DEL PILON 47                                    ","50011","CL / ARGUALAS  40                                                           ","50013",2,24.1800
67,"5/11/14 0:00:00","0090",7,"Z-8113-BK","CL / PREDICADORES 83                                        ","50003","CL / RAMON IZURQUIZA 14                                                     ","50010",10,79.6900
68,"5/11/14 0:00:00","0038",7,"Z-8113-BK","CL / MARIA GUERRERO 22-24                                                   ","50009","CL / TENIENTE CATALAN 3                                                     ","50005",4,20.3400
69,"5/11/14 0:00:00","0038",8,"Z-8114-BK","CL / LEOPOLDO ROMERO  8                                     ","50002","CL / NAVAS DE TOLOSA 23                                                     ","50010",6,40.3500
70,"5/11/14 0:00:00","0026",8,"Z-8114-BK","CL / AUGUSTO BEBEL 16                                                       ","50015","CL / ASALTO 45                                              ","50002",5,50.4400
71,"6/11/14 0:00:00","0005",3,"3851-CBT","CL / COMPROMISO DE CASPE 25                                 ","50002","CL / BOLOVIA 45                                                             ","50010",5,60.9100
72,"6/11/14 0:00:00","0037",3,"3851-CBT","CL / SAN JORGE  5                                                           ","50001","CL / CAPITAN PUERTOLAS,  1-5                                ","50002",9,313.2600
73,"6/11/14 0:00:00","0067",4,"8745-CBF","CL / PASEO INDEPENDENCIA 21  3º                                             ","50001","CL / LEOPOLDO ROMERO  8                                                     ","50002",1,31.1400
74,"6/11/14 0:00:00","0043",5,"Z-2345-BJ","CL / JUAN CARLOS I 59 LOCA                                                  ","50009","CL / COMPROMISO DE CASPE 3                                  ","50002",8,50.3300
75,"6/11/14 0:00:00","0084",5,"Z-2345-BJ","CL / ITALIA 58                                                              ","50010","CL / PROGRESO ESPAÑOL  25-27 3 5 D                          ","50011",2,38.7300
76,"6/11/14 0:00:00","0075",6,"Z-2675-BF","CL / MONASTERIO DE PIEDRA 1                                 ","50011","PZA/ SAN FRANCISCO  17                                                      ","50006",9,5.9500
77,"6/11/14 0:00:00","0048",6,"Z-2675-BF","CL / ARZOBISPO APAOLAZA 33-35                                               ","50009","CL / TURCO 14                                               ","50002",9,6.2200
78,"6/11/14 0:00:00","0088",7,"Z-2676-BF","CL / MARIA GUERRERO 27                                                      ","50009","CL / SANTIAGO DULONG 8                                      ","50003",4,5.2600
79,"6/11/14 0:00:00","0040",7,"Z-2676-BF","CL / BATALLA DE LEPANTO, 7                                  ","50002","CL / PASEO SAGASTA 55                                                       ","50007",8,5.6300
80,"6/11/14 0:00:00","0088",7,"Z-2676-BF","CL / SANTIAGO DULONG 8                                      ","50003","CL / ITALIA 36-38                                                           ","50010",2,5.0100
81,"6/11/14 0:00:00","0080",7,"Z-2676-BF","CL / PABLO RUIZ PICASO  51                                                  ","50015","CL / REINA FELICIA 55                                                       ","50003",9,5.5300
82,"6/11/14 0:00:00","0031",8,"Z-4678-BF","CL / ANDRES BENITO 4                                                        ","50016","CL / MADRE SACRAMENTO,  45                                                  ","50004",7,69.9400
83,"6/11/14 0:00:00","0060",9,"Z-8113-BK","CL / AVENIDA MADRID 5                                                       ","50004","CL / ARGUALAS 2                                             ","50012",5,57.8200
84,"6/11/14 0:00:00","0007",1,"Z-8114-BK","CL / MIGUEL SERVET 93-95                                    ","50002","CL / BOLONIA 22                                                             ","50008",4,28.6700
85,"6/11/14 0:00:00","0037",1,"Z-8114-BK","CL / CAPITAN PUERTOLAS,  1-5                                ","50002","CL / JUAN DE LA CIERVA 33                                                   ","50014",10,35.5600
86,"7/11/14 0:00:00","0054",7,"3851-CBT","CL / SANCHO ARROYO 12                                                       ","50002","CL / RIO  12                                                                ","50002",5,120.4500
87,"7/11/14 0:00:00","0078",7,"3851-CBT","CL / DOMINGO RAM 30                                                         ","50010","CL / CRESPO DE AGÜERO 1                                                     ","50004",8,367.8400
88,"7/11/14 0:00:00","0017",8,"8745-CBF","CL / VALLE DE ZURIZA 15                                                     ","50015","CL / MAESTRO MINGOTE 20-22                                  ","50002",9,251.2100
89,"7/11/14 0:00:00","0031",9,"Z-2345-BJ","CL / FRAY LUIS DE LEON 9 DPO                                                ","50011","CL / MONASTERIO DE OBARRA,  2-4 BAJO                        ","50002",7,177.0300
90,"7/11/14 0:00:00","0020",1,"Z-2675-BF","CL / DELICIAS 63                                                            ","50010","CL / MONASTERIO DE OBARRA,  2-4 BAJO                                        ","50002",10,6.0200
91,"7/11/14 0:00:00","0022",1,"Z-2675-BF","CL / BALTASAR GARCIAN  1 4ª D                                               ","50005","CL / RODRIGO REBOLLEDO 40                                   ","50002",10,5.2200
92,"7/11/14 0:00:00","0060",1,"Z-2675-BF","CM / DE ENMEDIO 120                                                         ","50013","CL / ARGUALAS 2                                             ","50012",7,5.2600
93,"7/11/14 0:00:00","0066",1,"Z-2675-BF","CL / DUQUESA VILLAHERMOSA 4                                                 ","50010","CL / LAIERRA PURROY 82                                                      ","50007",3,5.1300
94,"7/11/14 0:00:00","0040",1,"Z-2675-BF","CL / PROGRESO ESPAÑOL  25-27 3 5 D                                          ","50011","CL / BATALLA DE LEPANTO, 7                                  ","50002",9,5.1800
95,"7/11/14 0:00:00","0052",2,"Z-2676-BF","CL / VALLADOLID 2-4                                                         ","50007","CL / CASPE  32                                                              ","50010",1,5.1000
96,"7/11/14 0:00:00","0030",2,"Z-2676-BF","CL / LEOPOLDO ROMEO,  18                                    ","50002","CL / DOMINGO RAM  53                                                        ","50010",3,5.0200
97,"7/11/14 0:00:00","0014",2,"Z-2676-BF","CL / SUPERVIA 2-4 10 C                                                      ","50006","CL / DON JAIME,  44                                                         ","50001",1,5.0800
98,"7/11/14 0:00:00","0070",2,"Z-2676-BF","CL / DOMINGO RAM 5-7                                                        ","50010","AV /  MADRID,  129                                                          ","50010",3,5.1600
99,"7/11/14 0:00:00","0072",3,"Z-4678-BF","CL / CESAR AUGUSTO 5                                                        ","50004","CL / DOMINGO RAM 30                                                         ","50010",2,22.8400
100,"7/11/14 0:00:00","0083",4,"Z-8113-BK","CL / JAIME FERRAN, P-COGULLADA 11                                           ","50014","CL / LA REINA  11-13                                        ","50011",10,190.9500
101,"7/11/14 0:00:00","0060",5,"Z-8114-BK","CL / CONCEPCION 5                                                           ","50008","CL / ARGUALAS 2                                             ","50012",8,134.7900
102,"8/11/14 0:00:00","0057",4,"3851-CBT","CL / JARDINES DE LA ESTRELLA POLAR 10  1º C                 ","50012","AV / TENOR FLETA 30                                                         ","50007",5,227.6700
103,"8/11/14 0:00:00","0066",5,"8745-CBF","CL / DOMINGO RAM 30                                                         ","50010","CL / PROCION 16                                             ","50012",3,115.7600
104,"8/11/14 0:00:00","0062",6,"Z-2345-BJ","CL / ARGUALAS 18                                            ","50012","CL / TOMAS HIGUERA,  8                                                      ","50013",7,169.0200
105,"8/11/14 0:00:00","0060",7,"Z-2675-BF","CL / CARRT.MIRALBUENO 277                                                   ","50011","CL / ARGUALAS 2                                             ","50012",9,5.0700
106,"8/11/14 0:00:00","0046",7,"Z-2675-BF","CL / MONASTERIO DE ALAHON  1-3                              ","50002","CL / TOMAS HIGUERA 40                                                       ","50013",5,5.2500
107,"8/11/14 0:00:00","0074",7,"Z-2675-BF","CL / DON PEDRO DE LUNA  59-61 LOCAL                                         ","50010","CL / FRAY LUIS DE LEON 9 DPO                                ","50011",10,5.6500
108,"8/11/14 0:00:00","0030",7,"Z-2675-BF","CL / LEOPOLDO ROMEO,  18                                    ","50002","CL / SAN ROQUE 9                                                            ","50010",10,5.2300
109,"8/11/14 0:00:00","0044",7,"Z-2675-BF","PZA/ SAN FRANCISCO  17                                                      ","50006","CL / LEOPOLDO ROMEO 27 6º D                                 ","50002",10,5.6100
110,"9/11/14 0:00:00","0009",5,"3851-CBT","CL / MIGUEL SERVET, 177                                                     ","50013","CL / MONASTERIO DE SIRESA 9-11                              ","50002",9,625.6100
111,"9/11/14 0:00:00","0018",6,"8745-CBF","CL / LA REINA  11-13                                                        ","50011","CL / COSO 57 3                                                              ","50001",4,185.5900
112,"9/11/14 0:00:00","0066",7,"Z-2345-BJ","CL / OBISPO TAJON 2                                                         ","50005","CL / PROCION 16                                             ","50012",6,72.7500
113,"9/11/14 0:00:00","0049",7,"Z-2345-BJ","AV / CATALUÑA 301                                                           ","50014","CL / ESCORIAZA Y FABRO 40                                                   ","50010",5,58.0700
114,"9/11/14 0:00:00","0074",8,"Z-2675-BF","CL / SAN ANTONIO Mª CLARET  47                                              ","50005","CL / BURGOS 24                                                              ","50005",5,5.1700
115,"9/11/14 0:00:00","0006",8,"Z-2675-BF","CL / RIOJA  5                                                               ","50010","CL / MIGUEL SERET 177                                       ","50002",3,5.3500
116,"9/11/14 0:00:00","0062",8,"Z-2675-BF","CL / MANUEL LACRUZ, 2                                                       ","50015","CL / LUIS DEL VALLE  14-16                                                  ","50005",6,5.1200
117,"9/11/14 0:00:00","0006",8,"Z-2675-BF","PA / ISABEL LA CATOLICA 3                                                   ","50009","CL / MIGUEL SERET 177                                       ","50002",3,5.0900
118,"9/11/14 0:00:00","0038",8,"Z-2675-BF","PA /  TERUEL 15-17                                                          ","50004","CL / LEOPOLDO ROMERO  8                                     ","50002",5,5.1200
119,"10/11/14 0:00:00","0090",4,"3851-CBT","CL / MARCOS ZAPATA 39                                                       ","50010","CL / SANGENIS 71                                                            ","50010",6,134.8300
120,"10/11/14 0:00:00","0077",4,"3851-CBT","CL / MONASTERIO DE POBLET 8-10                                              ","50013","CL / MIGUEL ARTIGAS 11                                      ","50011",2,96.6900
121,"10/11/14 0:00:00","0026",5,"8745-CBF","CL / CAPITAN PUERTOLAS,  1-5                                                ","50002","CL / ASALTO 45                                              ","50002",9,336.3900
122,"10/11/14 0:00:00","0073",6,"Z-2345-BJ","CL / CAMINO DEL PILON 47                                    ","50011","CL / ALBERT EINSTEIN 3                                                      ","50014",6,183.4300
123,"10/11/14 0:00:00","0025",7,"Z-2675-BF","CL / FRAY LUIS URBANO 55                                    ","50002","CL / ALBAREDA,  14                                                          ","50004",10,5.2600
124,"10/11/14 0:00:00","0051",7,"Z-2675-BF","PZA/ DE LAS TENERIAS  6                                     ","50002","CL / BARCELONA       74                                                     ","50010",8,5.1300
125,"10/11/14 0:00:00","0051",7,"Z-2675-BF","CL / CANFRANC 6                                                             ","50004","PZA/ DE LAS TENERIAS  6                                     ","50002",1,5.0200
126,"10/11/14 0:00:00","0019",7,"Z-2675-BF","CL / COVADONGA 7-9                                                          ","50010","CL / MIGUEL SERVET 177                                      ","50002",6,5.2300
127,"10/11/14 0:00:00","0065",7,"Z-2675-BF","CL / PADRE MANJON 1                                                         ","50010","CL / VIA IBERICA 149                                        ","50012",8,5.2600
128,"10/11/14 0:00:00","0064",7,"Z-2675-BF","CL / BELCHITE,  37                                                          ","50013","CL / LA HIGUERA 12                                                          ","50013",9,6.1900
129,"10/11/14 0:00:00","0069",8,"Z-2676-BF","CL / AVDA. SAN JOSE 51                                                      ","50013","CL / MIGUEL SERVET  64                                                      ","50013",5,5.1900
130,"10/11/14 0:00:00","0080",8,"Z-2676-BF","PI / EL PORTAZGO BLOQUE B NAVE 12 0                         ","50011","CL / GARCIA SANCHEZ 27                                                      ","50005",1,5.0100
131,"10/11/14 0:00:00","0023",8,"Z-2676-BF","CL / MARIA MOLINER  25                                                      ","50007","AV / DE MONTAÑANA 930                                       ","50080",9,5.3300
132,"10/11/14 0:00:00","0020",8,"Z-2676-BF","CL / BENJAMIN FRANKLIN 13                                                   ","50014","CL / LORENTE 43                                                             ","50005",8,5.3900
133,"10/11/14 0:00:00","0066",8,"Z-2676-BF","CM / CABALDOS 60                                                            ","50013","CL / PROCION 16                                             ","50012",7,5.5100
134,"10/11/14 0:00:00","0086",9,"Z-4678-BF","CL / ESCULTOR PALAO,  6                                                     ","50010","CL / PLAZA DEL PILAR 7                                      ","50003",7,116.4500
135,"10/11/14 0:00:00","0036",1,"Z-8113-BK","CL / FRAY LUIS URBANO 27                                                    ","50002","CL / DON PEDRO DE LUNA  5                                                   ","50010",10,84.7100
136,"10/11/14 0:00:00","0051",1,"Z-8113-BK","CL / ISLA MALLORCA 28                                                       ","50014","PZA/ DE LAS TENERIAS  6                                     ","50002",8,189.0400
137,"10/11/14 0:00:00","0085",2,"Z-8114-BK","CL / MOSEN JOSE MARTINEZ 18                                 ","50011","AV / PABLO GARGALLO 116                                                     ","50015",8,200.7100
138,"11/11/14 0:00:00","0079",1,"3851-CBT","CL / JOSE MANUEL BLECUA 26                                  ","50011","CL / SANTA OROSIA 30                                                        ","50010",8,249.6000
139,"11/11/14 0:00:00","0025",1,"3851-CBT","CL / LOPEZ DE LUNA,  37                                                     ","50010","CL / FRAY LUIS URBANO 55                                    ","50002",5,165.2600
140,"11/11/14 0:00:00","0090",2,"8745-CBF","CL / ADOLFO AZNAR 26                                                        ","50015","CL / OBISPO TAJON 7                                                         ","50005",10,279.3200
141,"11/11/14 0:00:00","0075",3,"Z-2345-BJ","CL / MONASTERIO DE PIEDRA 1                                 ","50011","CL / CESARIO ALIERTA  120                                                   ","50013",8,197.6000
142,"11/11/14 0:00:00","0089",4,"Z-2675-BF","CL / TERMINILLO,  78                                                        ","50010","CL / RODRIGO REBOLLEDO 36 DPDO                              ","50002",3,5.6600
143,"11/11/14 0:00:00","0008",5,"Z-2676-BF","CL / MIGUEL SERVET 177                                      ","50002","CL / VALLADOLID 2-4                                                         ","50007",10,5.1900
144,"11/11/14 0:00:00","0028",5,"Z-2676-BF","CL / FLORIAN REY 10                                         ","50002","CL / BIARRITZ 11                                                            ","50010",3,5.1400
145,"11/11/14 0:00:00","0084",5,"Z-2676-BF","PA / INDEPENDENCIA  24                                                      ","50001","CL / COSO 57 3                                                              ","50001",1,5.0200
146,"11/11/14 0:00:00","0007",5,"Z-2676-BF","CL / MIGUEL SERVET 93-95                                    ","50002","CL / MIGUEL SERVET 177                                                      ","50002",9,5.3100
147,"11/11/14 0:00:00","0030",5,"Z-2676-BF","CL / ESPOZ Y MINA 4                                                         ","50003","CL / LEOPOLDO ROMEO,  18                                    ","50002",6,5.5300
148,"11/11/14 0:00:00","0021",6,"Z-4678-BF","CL / SAN PEDRO NOLASCO 1                                                    ","50001","CL / DOCTOR IRANZO 31                                       ","50002",3,51.9800
149,"11/11/14 0:00:00","0077",7,"Z-8113-BK","CL / MIGUEL ARTIGAS 11                                      ","50011","CL / MARIA DE LUNA  3                                                       ","50015",10,84.5000
150,"11/11/14 0:00:00","0023",7,"Z-8113-BK","PA / Mª AGUSTIN,  73                                                        ","50003","AV / DE MONTAÑANA 930                                       ","50080",6,75.8900
151,"11/11/14 0:00:00","0032",8,"Z-8114-BK","PA /  TERUEL 15-17                                                          ","50004","CL / CONDE ARANDA 23 2                                                      ","50005",7,96.6200
152,"12/11/14 0:00:00","0006",2,"3851-CBT","CL / DUQUEDA VILLAHERMOSA,  157                                             ","50009","CL / MIGUEL SERET 177                                       ","50002",2,50.0200
153,"12/11/14 0:00:00","0073",2,"3851-CBT","CL / ARIAS 12-14                                                            ","50010","CL / FABLA ARAGONESA  7                                                     ","50014",7,165.4000
154,"12/11/14 0:00:00","0064",3,"8745-CBF","CL / EL GRECO - P. ARGUALAS 14                              ","50012","CL / CORONA DE ARAGON 52                                                    ","50009",10,273.3200
155,"12/11/14 0:00:00","0074",4,"Z-2345-BJ","CL / PRIVILEGIO DE LA UNION  25                                             ","50013","CL / FRAY LUIS DE LEON 9 DPO                                ","50011",6,73.5400
156,"12/11/14 0:00:00","0029",4,"Z-2345-BJ","CL / NAVAS DE TOLOSA 28 BAJO                                                ","50010","CL / PASEO MARIA AGUSTIN,  25                                               ","50004",10,68.2600
157,"12/11/14 0:00:00","0002",5,"Z-2675-BF","AV / DE MADRID 94                                                           ","50010","CL / MIGUEL SERVET 177                                      ","50002",8,5.5600
158,"12/11/14 0:00:00","0055",5,"Z-2675-BF","CL / CAPITAN ESPONERA 1                                                     ","50004","CL / AMADO NERO 2                                                           ","50008",10,6.1500
159,"12/11/14 0:00:00","0024",5,"Z-2675-BF","CL / COMUNEROS DE CASTILLA 1                                ","50002","CL / CAMINO MIRALBUENO 172                                                  ","50011",5,5.1900
160,"12/11/14 0:00:00","0048",6,"Z-2676-BF","CL / TURCO 14                                               ","50002","CL / GARCIA SANCHEZ, 36                                                     ","50005",8,5.4800
